dia,activos,recuperados,susceptibles
248,2310.20,1417482.84,756158.96
249,2169.05,1417804.62,755978.33
250,2036.49,1418106.74,755808.77
251,1912.00,1418390.39,755649.61
252,1795.09,1418656.69,755500.22
253,1685.31,1418906.71,755359.98
254,1582.22,1419141.43,755228.35
255,1485.42,1419361.79,755104.79
256,1394.53,1419568.66,754988.81
257,1309.19,1419762.88,754879.94
258,1229.06,1419945.20,754777.75
259,1153.82,1420116.36,754681.82
260,1083.18,1420277.03,754591.78
261,1016.87,1420427.87,754507.27
262,954.60,1420569.46,754427.93
263,896.15,1420702.39,754353.46
264,841.27,1420827.17,754283.56
265,789.75,1420944.30,754217.95
266,741.39,1421054.26,754156.35
267,695.99,1421157.47,754098.54
268,653.36,1421254.37,754044.27
269,613.35,1421345.32,753993.33
270,575.79,1421430.70,753945.51
271,540.53,1421510.85,753900.62
272,507.43,1421586.09,753858.48
273,476.37,1421656.71,753818.92
274,447.20,1421723.01,753781.79
275,419.82,1421785.24,753746.94
276,394.13,1421843.66,753714.22
277,370.00,1421898.50,753683.50
278,347.36,1421949.98,753654.66
279,326.11,1421998.30,753627.59
280,306.16,1422043.66,753602.18
281,287.43,1422086.25,753578.32
282,269.85,1422126.22,753555.93
283,253.36,1422163.75,753534.90
284,237.87,1422198.97,753515.16
285,223.33,1422232.04,753496.62
286,209.69,1422263.09,753479.22
287,196.88,1422292.23,753462.89
288,184.86,1422319.59,753447.55
289,173.58,1422345.28,753433.14
290,162.99,1422369.39,753419.62
291,153.05,1422392.03,753406.92
292,143.72,1422413.28,753395.00
293,134.96,1422433.23,753383.80
294,126.75,1422451.97,753373.29
295,119.03,1422469.55,753363.42
296,111.79,1422486.07,753354.14
297,104.99,1422501.57,753345.43
298,98.61,1422516.13,753337.26
299,92.63,1422529.80,753329.57
300,87.01,1422542.63,753322.36
301,81.73,1422554.69,753315.58
302,76.78,1422566.00,753309.21
303,72.14,1422576.63,753303.23
304,67.77,1422586.61,753297.61
305,63.68,1422595.98,753292.34
306,59.84,1422604.79,753287.37
307,56.23,1422613.05,753282.71
308,52.85,1422620.82,753278.33
309,49.67,1422628.11,753274.22
310,46.69,1422634.96,753270.35
311,43.89,1422641.40,753266.71
312,41.27,1422647.44,753263.29
313,38.80,1422653.12,753260.08
314,36.49,1422658.46,753257.06
315,34.31,1422663.47,753254.21
316,32.28,1422668.18,753251.54
317,30.36,1422672.61,753249.03
318,28.57,1422676.77,753246.66
319,26.88,1422680.68,753244.44
320,25.30,1422684.36,753242.34
321,23.82,1422687.81,753240.37
322,22.42,1422691.06,753238.52
323,21.11,1422694.11,753236.77
324,19.89,1422696.99,753235.13
325,18.73,1422699.69,753233.58
326,17.65,1422702.23,753232.12
327,16.64,1422704.62,753230.75
328,15.69,1422706.87,753229.45
329,14.79,1422708.98,753228.23
330,13.95,1422710.97,753227.08
331,13.16,1422712.85,753225.99
332,12.43,1422714.61,753224.96
