dia,activos,recuperados,susceptibles
262,920.65,1421891.25,753140.10
263,864.16,1422019.44,753068.40
264,811.14,1422139.75,753001.11
265,761.37,1422252.68,752937.95
266,714.65,1422358.68,752878.67
267,670.80,1422458.16,752823.04
268,629.64,1422551.54,752770.82
269,591.00,1422639.18,752721.81
270,554.74,1422721.45,752675.81
271,520.71,1422798.66,752632.64
272,488.76,1422871.13,752592.11
273,458.78,1422939.14,752554.08
274,430.64,1423002.99,752518.38
275,404.22,1423062.91,752484.87
276,379.43,1423119.15,752453.42
277,356.17,1423171.94,752423.89
278,334.33,1423221.49,752396.18
279,313.84,1423267.99,752370.17
280,294.60,1423311.64,752345.76
281,276.55,1423352.61,752322.84
282,259.61,1423391.07,752301.32
283,243.71,1423427.17,752281.13
284,228.78,1423461.05,752262.17
285,214.78,1423492.85,752244.38
286,201.63,1423522.70,752227.67
287,189.30,1423550.72,752211.99
288,177.72,1423577.02,752197.26
289,166.85,1423601.71,752183.44
290,156.66,1423624.88,752170.46
291,147.09,1423646.64,752158.28
292,138.11,1423667.06,752146.84
293,129.68,1423686.23,752136.10
294,121.77,1423704.22,752126.01
295,114.34,1423721.12,752116.54
296,107.38,1423736.98,752107.65
297,100.84,1423751.86,752099.30
298,94.70,1423765.84,752091.45
299,88.94,1423778.97,752084.09
300,83.54,1423791.29,752077.17
301,78.47,1423802.86,752070.68
302,73.71,1423813.72,752064.57
303,69.24,1423823.92,752058.84
304,65.05,1423833.49,752053.46
305,61.12,1423842.48,752048.40
306,57.43,1423850.93,752043.65
307,53.96,1423858.86,752039.18
308,50.71,1423866.31,752034.98
309,47.66,1423873.30,752031.04
310,44.79,1423879.87,752027.33
311,42.11,1423886.04,752023.85
312,39.58,1423891.84,752020.58
313,37.22,1423897.28,752017.50
314,35.00,1423902.40,752014.61
315,32.91,1423907.20,752011.88
316,30.96,1423911.72,752009.32
317,29.12,1423915.96,752006.92
318,27.40,1423919.95,752004.65
319,25.78,1423923.70,752002.52
320,24.26,1423927.22,752000.52
321,22.84,1423930.53,751998.63
322,21.50,1423933.64,751996.86
323,20.25,1423936.57,751995.18
324,19.07,1423939.32,751993.61
325,17.97,1423941.91,751992.13
326,16.93,1423944.34,751990.73
327,15.96,1423946.63,751989.41
328,15.05,1423948.78,751988.17
329,14.19,1423950.81,751987.00
330,13.39,1423952.72,751985.90
331,12.63,1423954.51,751984.86
